FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2014–15,Psychiatrists,January to March,Female,65–74 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,January to March,Female,75–84 years,"Service rate per 1,000 population",21
2014–15,Psychiatrists,January to March,Female,85 years and over,"Service rate per 1,000 population",13
2014–15,Psychiatrists,January to March,Female,Total,"Service rate per 1,000 population",28
2014–15,Psychiatrists,January to March,Total,0–4 years,Patients,149
2014–15,Psychiatrists,January to March,Total,5–11 years,Patients,2871
2014–15,Psychiatrists,January to March,Total,12–17 years,Patients,9193
2014–15,Psychiatrists,January to March,Total,18–24 years,Patients,19120
2014–15,Psychiatrists,January to March,Total,25–34 years,Patients,31388
2014–15,Psychiatrists,January to March,Total,35–44 years,Patients,37857
2014–15,Psychiatrists,January to March,Total,45–54 years,Patients,38261
2014–15,Psychiatrists,January to March,Total,55–64 years,Patients,32320
2014–15,Psychiatrists,January to March,Total,65–74 years,Patients,16340
2014–15,Psychiatrists,January to March,Total,75–84 years,Patients,6782
2014–15,Psychiatrists,January to March,Total,85 years and over,Patients,2229
2014–15,Psychiatrists,January to March,Total,Total,Patients,196510
2014–15,Psychiatrists,January to March,Total,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Total,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,January to March,Total,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,January to March,Total,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,January to March,Total,25–34 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,January to March,Total,35–44 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,January to March,Total,45–54 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,January to March,Total,55–64 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,January to March,Total,65–74 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,January to March,Total,75–84 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,January to March,Total,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,January to March,Total,Total,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,January to March,Total,0–4 years,Services,273
2014–15,Psychiatrists,January to March,Total,5–11 years,Services,5362
2014–15,Psychiatrists,January to March,Total,12–17 years,Services,21796
2014–15,Psychiatrists,January to March,Total,18–24 years,Services,52507
2014–15,Psychiatrists,January to March,Total,25–34 years,Services,87904
2014–15,Psychiatrists,January to March,Total,35–44 years,Services,109940
2014–15,Psychiatrists,January to March,Total,45–54 years,Services,112359
2014–15,Psychiatrists,January to March,Total,55–64 years,Services,92771
2014–15,Psychiatrists,January to March,Total,65–74 years,Services,45878
2014–15,Psychiatrists,January to March,Total,75–84 years,Services,18135
2014–15,Psychiatrists,January to March,Total,85 years and over,Services,5385
2014–15,Psychiatrists,January to March,Total,Total,Services,552310
2014–15,Psychiatrists,January to March,Total,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Total,5–11 years,"Service rate per 1,000 population",3
2014–15,Psychiatrists,January to March,Total,12–17 years,"Service rate per 1,000 population",13
2014–15,Psychiatrists,January to March,Total,18–24 years,"Service rate per 1,000 population",23
2014–15,Psychiatrists,January to March,Total,25–34 years,"Service rate per 1,000 population",25
2014–15,Psychiatrists,January to March,Total,35–44 years,"Service rate per 1,000 population",34
2014–15,Psychiatrists,January to March,Total,45–54 years,"Service rate per 1,000 population",36
2014–15,Psychiatrists,January to March,Total,55–64 years,"Service rate per 1,000 population",34
2014–15,Psychiatrists,January to March,Total,65–74 years,"Service rate per 1,000 population",23
2014–15,Psychiatrists,January to March,Total,75–84 years,"Service rate per 1,000 population",17
2014–15,Psychiatrists,January to March,Total,85 years and over,"Service rate per 1,000 population",12
2014–15,Psychiatrists,January to March,Total,Total,"Service rate per 1,000 population",23
2014–15,Psychiatrists,April to June,Male,0–4 years,Patients,99
2014–15,Psychiatrists,April to June,Male,5–11 years,Patients,2118
2014–15,Psychiatrists,April to June,Male,12–17 years,Patients,4676
2014–15,Psychiatrists,April to June,Male,18–24 years,Patients,9314
2014–15,Psychiatrists,April to June,Male,25–34 years,Patients,14946
2014–15,Psychiatrists,April to June,Male,35–44 years,Patients,17255
2014–15,Psychiatrists,April to June,Male,45–54 years,Patients,16940
2014–15,Psychiatrists,April to June,Male,55–64 years,Patients,13703
2014–15,Psychiatrists,April to June,Male,65–74 years,Patients,6587
2014–15,Psychiatrists,April to June,Male,75–84 years,Patients,2422
2014–15,Psychiatrists,April to June,Male,85 years and over,Patients,661
2014–15,Psychiatrists,April to June,Male,Total,Patients,88721
2014–15,Psychiatrists,April to June,Male,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,April to June,Male,5–11 years,"Patient rate per 1,000 population",2
2014–15,Psychiatrists,April to June,Male,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,April to June,Male,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,April to June,Male,25–34 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,April to June,Male,35–44 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,April to June,Male,45–54 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,April to June,Male,55–64 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,April to June,Male,65–74 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,April to June,Male,75–84 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,April to June,Male,85 years and over,"Patient rate per 1,000 population",4
2014–15,Psychiatrists,April to June,Male,Total,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,April to June,Male,0–4 years,Services,165
2014–15,Psychiatrists,April to June,Male,5–11 years,Services,3968
2014–15,Psychiatrists,April to June,Male,12–17 years,Services,10340
2014–15,Psychiatrists,April to June,Male,18–24 years,Services,22310
2014–15,Psychiatrists,April to June,Male,25–34 years,Services,36796
2014–15,Psychiatrists,April to June,Male,35–44 years,Services,46584
2014–15,Psychiatrists,April to June,Male,45–54 years,Services,45925
2014–15,Psychiatrists,April to June,Male,55–64 years,Services,36500
2014–15,Psychiatrists,April to June,Male,65–74 years,Services,17253
2014–15,Psychiatrists,April to June,Male,75–84 years,Services,5798
2014–15,Psychiatrists,April to June,Male,85 years and over,Services,1502
2014–15,Psychiatrists,April to June,Male,Total,Services,227141
2014–15,Psychiatrists,April to June,Male,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,April to June,Male,5–11 years,"Service rate per 1,000 population",4
2014–15,Psychiatrists,April to June,Male,12–17 years,"Service rate per 1,000 population",12
2014–15,Psychiatrists,April to June,Male,18–24 years,"Service rate per 1,000 population",19
2014–15,Psychiatrists,April to June,Male,25–34 years,"Service rate per 1,000 population",21
2014–15,Psychiatrists,April to June,Male,35–44 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,April to June,Male,45–54 years,"Service rate per 1,000 population",30
2014–15,Psychiatrists,April to June,Male,55–64 years,"Service rate per 1,000 population",27
2014–15,Psychiatrists,April to June,Male,65–74 years,"Service rate per 1,000 population",18
2014–15,Psychiatrists,April to June,Male,75–84 years,"Service rate per 1,000 population",12
2014–15,Psychiatrists,April to June,Male,85 years and over,"Service rate per 1,000 population",9
2014–15,Psychiatrists,April to June,Male,Total,"Service rate per 1,000 population",19
2014–15,Psychiatrists,April to June,Female,0–4 years,Patients,46
2014–15,Psychiatrists,April to June,Female,5–11 years,Patients,978
2014–15,Psychiatrists,April to June,Female,12–17 years,Patients,5368
2014–15,Psychiatrists,April to June,Female,18–24 years,Patients,10517
2014–15,Psychiatrists,April to June,Female,25–34 years,Patients,17243
2014–15,Psychiatrists,April to June,Female,35–44 years,Patients,21296
2014–15,Psychiatrists,April to June,Female,45–54 years,Patients,21994
2014–15,Psychiatrists,April to June,Female,55–64 years,Patients,18255
2014–15,Psychiatrists,April to June,Female,65–74 years,Patients,9559
2014–15,Psychiatrists,April to June,Female,75–84 years,Patients,4133
2014–15,Psychiatrists,April to June,Female,85 years and over,Patients,1418
2014–15,Psychiatrists,April to June,Female,Total,Patients,110807
2014–15,Psychiatrists,April to June,Female,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,April to June,Female,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,April to June,Female,12–17 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,April to June,Female,18–24 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,April to June,Female,25–34 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,April to June,Female,35–44 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,April to June,Female,45–54 years,"Patient rate per 1,000 population",14
2014–15,Psychiatrists,April to June,Female,55–64 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,April to June,Female,65–74 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,April to June,Female,75–84 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,April to June,Female,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,April to June,Female,Total,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,April to June,Female,0–4 years,Services,85
2014–15,Psychiatrists,April to June,Female,5–11 years,Services,1963
2014–15,Psychiatrists,April to June,Female,12–17 years,Services,14525
2014–15,Psychiatrists,April to June,Female,18–24 years,Services,34744
